id,lat,lon,operator,amenity,atm,tourism
56435,39.976295,-75.16111,,place_of_worship,,
56436,39.976124,-75.16194,,place_of_worship,,
56437,39.97542,-75.16701,,place_of_worship,,
56438,39.97252,-75.16267,,place_of_worship,,
56439,39.977493,-75.16095,,place_of_worship,,
56443,39.97926,-75.16743,,place_of_worship,,
56444,39.97971,-75.16641,,place_of_worship,,
56445,39.97722,-75.16788,,place_of_worship,,
56446,39.978813,-75.16191,,place_of_worship,,
56447,39.979862,-75.16613,,place_of_worship,,
56682,39.94199,-75.20398,,bench,,
56683,39.942085,-75.20416,,bench,,
56684,39.941586,-75.204124,,bench,,
56685,39.9416,-75.20362,,bench,,
56686,39.941856,-75.20353,,bench,,
56687,39.940258,-75.204475,,bench,,
56688,39.940056,-75.20447,,bench,,
56689,39.93987,-75.20445,,bench,,
56690,39.9397,-75.20445,,bench,,
56691,39.94006,-75.20416,,bench,,
56692,39.940056,-75.20434,,bench,,
56693,39.943165,-75.20129,,bench,,
56694,39.94325,-75.20021,,bench,,
56695,39.943394,-75.19982,,bench,,
56696,39.943123,-75.19982,,bench,,
56697,39.94302,-75.20024,,bench,,
56698,39.9428,-75.19935,,bench,,
56699,39.942413,-75.19816,,bench,,
56700,39.942165,-75.19791,,bench,,
56951,39.9472,-75.206825,,bench,,
56952,39.947216,-75.206856,,bench,,
56953,39.94719,-75.2068,,bench,,
56954,39.947178,-75.20679,,bench,,
56955,39.986183,-75.156105,,fast_food,,
56977,39.987804,-75.15613,Total ATM Service,atm,,
56978,39.986378,-75.15597,getcoins,atm,,
56992,39.949852,-75.202934,Bicycle Transit Systems,bicycle_rental,,
57155,39.946125,-75.208916,,waste_basket,,
57156,39.94613,-75.208916,,vending_machine,,
57157,39.946033,-75.20892,,bench,,
57158,39.94582,-75.20879,,bench,,
57159,39.945953,-75.20881,,bench,,
57160,39.945976,-75.20883,,waste_basket,,
57162,39.945457,-75.20692,,bench,,
57163,39.9454,-75.206985,,bench,,
57164,39.94553,-75.20683,,bench,,
57165,39.945637,-75.206856,,bench,,
57166,39.945755,-75.20701,,bench,,
57167,39.94572,-75.20716,,bench,,
57168,39.945557,-75.207344,,bench,,
57169,39.9455,-75.20736,,bench,,
57170,39.94563,-75.207306,,bench,,
57171,39.945644,-75.20733,,bench,,
57172,39.945675,-75.20729,,bench,,
57173,39.945663,-75.207275,,bench,,
57174,39.94562,-75.2073,,waste_basket,,
57175,39.94532,-75.20717,,bench,,
57176,39.945347,-75.207306,,bench,,
57367,39.93405,-75.177284,,restaurant,,
57368,39.938755,-75.18694,,restaurant,,
57370,39.933132,-75.16883,,restaurant,,
57371,39.93454,-75.17941,,restaurant,,
57372,39.93592,-75.17828,,restaurant,,
57373,39.93431,-75.17757,,restaurant,,
57374,39.934704,-75.17956,,restaurant,,
57375,39.935944,-75.18085,,restaurant,,
57376,39.939156,-75.17838,,pub,,
57377,39.92852,-75.173096,,restaurant,,
57378,39.92846,-75.17126,,restaurant,,
57379,39.927437,-75.17306,,pub,,
57463,39.942207,-75.1542,,bicycle_parking,,
57513,39.946976,-75.19235,,parking_entrance,,
57514,39.94702,-75.19225,,parking_entrance,,
57516,39.952393,-75.163605,,,,artwork
57699,39.963562,-75.17477,"Juno Computers, Inc",,,
